Date,US_Pay
1990/01/31,109199
1990/02/28,109435
1990/03/31,109644
1990/04/30,109686
1990/05/31,109839
1990/06/30,109856
1990/07/31,109824
1990/08/31,109616
1990/09/30,109518
1990/10/31,109367
1990/11/30,109214
1990/12/31,109166
1991/01/31,109055
1991/02/28,108734
1991/03/31,108574
1991/04/30,108364
1991/05/31,108249
1991/06/30,108334
1991/07/31,108292
1991/08/31,108310
1991/09/30,108336
1991/10/31,108357
1991/11/30,108296
1991/12/31,108328
1992/01/31,108369
1992/02/29,108311
1992/03/31,108365
1992/04/30,108519
1992/05/31,108649
1992/06/30,108715
1992/07/31,108793
1992/08/31,108925
1992/09/30,108959
1992/10/31,109139
1992/11/30,109272
1992/12/31,109495
1993/01/31,109794
1993/02/28,110044
1993/03/31,109994
1993/04/30,110296
1993/05/31,110568
1993/06/30,110749
1993/07/31,111055
1993/08/31,111206
1993/09/30,111448
1993/10/31,111733
1993/11/30,111984
1993/12/31,112314
1994/01/31,112595
1994/02/28,112781
1994/03/31,113242
1994/04/30,113586
1994/05/31,113921
1994/06/30,114238
1994/07/31,114610
1994/08/31,114896
1994/09/30,115247
1994/10/31,115458
1994/11/30,115869
1994/12/31,116165
1995/01/31,116501
1995/02/28,116697
1995/03/31,116907
1995/04/30,117069
1995/05/31,117049
1995/06/30,117286
1995/07/31,117380
1995/08/31,117634
1995/09/30,117875
1995/10/31,118031
1995/11/30,118175
1995/12/31,118320
1996/01/31,118316
1996/02/29,118739
1996/03/31,118993
1996/04/30,119158
1996/05/31,119486
1996/06/30,119769
1996/07/31,120015
1996/08/31,120199
1996/09/30,120410
1996/10/31,120665
1996/11/30,120961
1996/12/31,121143
1997/01/31,121363
1997/02/28,121675
1997/03/31,121990
1997/04/30,122286
1997/05/31,122546
1997/06/30,122814
1997/07/31,123111
1997/08/31,123093
1997/09/30,123585
1997/10/31,123929
1997/11/30,124235
1997/12/31,124549
1998/01/31,124812
1998/02/28,125016
1998/03/31,125164
1998/04/30,125442
1998/05/31,125844
1998/06/30,126076
1998/07/31,126205
1998/08/31,126544
1998/09/30,126752
1998/10/31,126954
1998/11/30,127231
1998/12/31,127596
1999/01/31,127702
1999/02/28,128120
1999/03/31,128227
1999/04/30,128597
1999/05/31,128808
1999/06/30,129089
1999/07/31,129414
1999/08/31,129569
1999/09/30,129772
1999/10/31,130177
1999/11/30,130466
1999/12/31,130772
2000/01/31,131005
2000/02/29,131124
2000/03/31,131596
2000/04/30,131888
2000/05/31,132105
2000/06/30,132061
2000/07/31,132236
2000/08/31,132230
2000/09/30,132353
2000/10/31,132351
2000/11/30,132556
2000/12/31,132709
2001/01/31,132698
2001/02/28,132789
2001/03/31,132747
2001/04/30,132463
2001/05/31,132410
2001/06/30,132299
2001/07/31,132177
2001/08/31,132028
2001/09/30,131771
2001/10/31,131454
2001/11/30,131142
2001/12/31,130982
2002/01/31,130852
2002/02/28,130736
2002/03/31,130717
2002/04/30,130623
2002/05/31,130634
2002/06/30,130684
2002/07/31,130590
2002/08/31,130587
2002/09/30,130501
2002/10/31,130628
2002/11/30,130615
2002/12/31,130472
2003/01/31,130580
2003/02/28,130444
2003/03/31,130232
2003/04/30,130177
2003/05/31,130196
2003/06/30,130194
2003/07/31,130191
2003/08/31,130149
2003/09/30,130254
2003/10/31,130454
2003/11/30,130474
2003/12/31,130588
2004/01/31,130769
2004/02/29,130825
2004/03/31,131142
2004/04/30,131411
2004/05/31,131694
2004/06/30,131793
2004/07/31,131848
2004/08/31,131937
2004/09/30,132093
2004/10/31,132447
2004/11/30,132503
2004/12/31,132624
2005/01/31,132774
2005/02/28,133032
2005/03/31,133156
2005/04/30,133518
2005/05/31,133690
2005/06/30,133942
2005/07/31,134296
2005/08/31,134498
2005/09/30,134566
2005/10/31,134655
2005/11/30,134993
2005/12/31,135149
2006/01/31,135429
2006/02/28,135737
2006/03/31,136047
2006/04/30,136205
2006/05/31,136244
2006/06/30,136325
2006/07/31,136520
2006/08/31,136694
2006/09/30,136843
2006/10/31,136852
2006/11/30,137063
2006/12/31,137249
2007/01/31,137477
2007/02/28,137558
2007/03/31,137793
2007/04/30,137842
2007/05/31,137993
2007/06/30,138069
2007/07/31,138038
2007/08/31,138015
2007/09/30,138095
2007/10/31,138174
2007/11/30,138284
2007/12/31,138392
2008/01/31,138403
2008/02/29,138324
2008/03/31,138275
2008/04/30,138035
2008/05/31,137858
2008/06/30,137687
2008/07/31,137491
2008/08/31,137213
2008/09/30,136753
2008/10/31,136272
2008/11/30,135545
2008/12/31,134839
2009/01/31,134055
2009/02/28,133312
2009/03/31,132512
2009/04/30,131817
2009/05/31,131475
2009/06/30,131008
2009/07/31,130668
2009/08/31,130485
2009/09/30,130244
2009/10/31,130045
2009/11/30,130057
2009/12/31,129788
2010/01/31,129790
2010/02/28,129698
2010/03/31,129879
2010/04/30,130110
2010/05/31,130650
2010/06/30,130511
2010/07/31,130427
2010/08/31,130422
2010/09/30,130357
2010/10/31,130625
2010/11/30,130750
2010/12/31,130822
2011/01/31,130841
2011/02/28,131053
2011/03/31,131288
2011/04/30,131602
2011/05/31,131703
2011/06/30,131939
2011/07/31,131999
2011/08/31,132125
2011/09/30,132358
2011/10/31,132562
2011/11/30,132694
2011/12/31,132896
2012/01/31,133250
2012/02/29,133512
2012/03/31,133752
2012/04/30,133834
2012/05/31,133934
2012/06/30,134007
2012/07/31,134159
2012/08/31,134331
2012/09/30,134518
2012/10/31,134677
2012/11/30,134833
2012/12/31,135072
2013/01/31,135263
2013/02/28,135541
2013/03/31,135680
2013/04/30,135871
2013/05/31,136093
2013/06/30,136274
2013/07/31,136386
2013/08/31,136628
2013/09/30,136815
2013/10/31,137040
2013/11/30,137304
2013/12/31,137373
2014/01/31,137548
2014/02/28,137714
2014/03/31,137968
2014/04/30,138293
2014/05/31,138511
2014/06/30,138837
2014/07/31,139069
2014/08/31,139257
2014/09/30,139566
2014/10/31,139818
2014/11/30,140109
2014/12/31,140377
2015/01/31,140568
2015/02/28,140839
2015/03/31,140910
2015/04/30,141194
2015/05/31,141525
2015/06/30,141699
2015/07/31,142001
2015/08/31,142126
2015/09/30,142281
2015/10/31,142587
2015/11/30,142824
2015/12/31,143097
2016/01/31,143205
2016/02/29,143417
2016/03/31,143654
2016/04/30,143851
2016/05/31,143892
2016/06/30,144150
2016/07/31,144521
2016/08/31,144664
2016/09/30,144953
2016/10/31,145071
2016/11/30,145201
2016/12/31,145415
2017/01/31,145628
2017/02/28,145818
2017/03/31,145960
2017/04/30,146165
2017/05/31,146388
2017/06/30,146585
2017/07/31,146768
2017/08/31,146913
2017/09/30,147012
2017/10/31,147153
2017/11/30,147353
2017/12/31,147529
2018/01/31,147662
2018/02/28,148064
2018/03/31,148289
2018/04/30,148468
2018/05/31,148801
2018/06/30,148984
2018/07/31,149050
2018/08/31,149269
2018/09/30,149326
2018/10/31,149471
2018/11/30,149573
2018/12/31,149821
2019/01/31,150100
2019/02/28,150124
2019/03/31,150348
2019/04/30,150636
2019/05/31,150713
2019/06/30,150843
2019/07/31,150921
2019/08/31,151081
2019/09/30,151244
2019/10/31,151337
2019/11/30,151589
2019/12/31,151789
2020/01/31,152128
2020/02/29,152504
2020/03/31,151006
2020/04/30,130513
2020/05/31,133155
2020/06/30,137660
2020/07/31,139048
2020/08/31,140713
2020/09/30,141632
2020/10/31,142279
2020/11/30,142612
2020/12/31,142497
2021/01/31,143017
2021/02/28,143727
2021/03/31,144431
2021/04/30,144694
2021/05/31,145141
2021/06/30,145698
2021/07/31,146387
2021/08/31,146904
2021/09/30,147328
2021/10/31,148005
2021/11/30,148652
2021/12/31,149162
2022/01/31,149629